82,014620,성광벤드,20200709,6980,7000,6900,6930,91909,-0.43
83,014940,오리엔탈정공,20200709,1215,1390,1210,1240,3887665,+2.48
84,014970,삼륭물산,20200709,8210,8240,8060,8060,167985,-0.62
85,015710,코콤,20200709,5560,6110,5560,6110,346634,+9.69
86,015750,성우하이텍,20200709,2760,2775,2705,2715,312495,-1.81
87,016100,리더스코스메틱,20200709,4200,4240,4105,4130,76333,-1.67
88,016250,이테크건설,20200709,69100,70100,68800,69400,4419,-0.29
89,016600,큐캐피탈,20200709,586,594,580,583,260549,-0.85
90,016670,포비스티앤씨,20200709,1115,1135,1075,1125,1447475,+1.35
91,016790,현대사료,20200709,14850,14900,14400,14400,68726,-2.04
92,016920,카스,20200709,1440,1615,1440,1580,2641870,+10.10
93,017000,신원종합개발,20200709,3260,3980,3260,3700,703706,+12.12
94,017250,인터엠,20200709,1760,1800,1735,1740,40352,-0.85
95,017480,삼현철강,20200709,3530,3530,3470,3475,18185,-0.57
96,017510,세명전기,20200709,4190,4190,4085,4095,58859,-1.80
97,017650,대림제지,20200709,7670,7670,7400,7400,108974,-3.01
98,017890,한국알콜,20200709,15950,16200,15550,16150,1643329,+2.22
99,018000,유니슨,20200709,1680,1875,1675,1740,43507972,+5.45
100,018120,진로발효,20200709,29700,29800,29650,29700,1169,0.00
101,018290,브이티지엠피,20200709,9050,9050,8800,8870,348291,-0.22
102,018310,삼목에스폼,20200709,8250,8280,8140,8240,19869,+1.23
103,018620,우진비앤지,20200709,2790,2850,2725,2830,1063673,+1.62
104,018680,서울제약,20200709,9290,10500,9210,10500,1300895,+13.02
105,018700,바른손,20200709,2260,2260,2190,2235,142871,-0.22
106,019010,베뉴지,20200709,1460,1565,1445,1460,394706,+0.69
107,019210,와이지-원,20200709,4730,4755,4590,4635,199526,-1.49
108,019540,일지테크,20200709,3335,3360,3260,3290,87534,-1.35
109,019550,SBI인베스트먼트,20200709,768,851,767,810,15691557,+4.25
110,019570,리더스 기술투자,20200709,458,472,455,461,117192,+0.66
111,019590,엠벤처투자,20200709,920,933,907,924,367074,+0.65
112,019660,글로본,20200709,2235,2235,2150,2220,133127,-0.22
113,019770,서연탑메탈,20200709,2390,2405,2340,2370,66536,-0.84
114,019990,에너토크,20200709,3680,3680,3525,3625,28549,+0.97
115,020180,대신정보통신,20200709,1210,1210,1180,1210,472233,+0.83
116,020400,대동금속,20200709,8320,8800,8310,8550,10323,+2.27
117,020710,시공테크,20200709,5370,5460,5240,5320,53074,-0.75
